latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.493847,-0.1630249,1.0,3600,Europe/London,GMT+1

time,temperature_2m (°C),precipitation (mm),rain (mm),snowfall (cm),wind_speed_10m (km/h),wind_gusts_10m (km/h),cloud_cover (%)
2025-03-10T00:00,8.7,0.00,0.00,0.00,6.9,15.8,97
2025-03-10T01:00,8.6,0.00,0.00,0.00,6.4,14.0,29
2025-03-10T02:00,8.8,0.00,0.00,0.00,7.3,14.8,99
2025-03-10T03:00,8.4,0.00,0.00,0.00,7.5,14.8,99
2025-03-10T04:00,8.0,0.00,0.00,0.00,7.1,14.8,11
2025-03-10T05:00,7.4,0.00,0.00,0.00,7.8,15.1,98
2025-03-10T06:00,7.5,0.00,0.00,0.00,7.5,16.6,100
2025-03-10T07:00,7.5,0.00,0.00,0.00,8.1,16.6,100
2025-03-10T08:00,7.3,0.10,0.10,0.00,8.0,17.6,100
2025-03-10T09:00,7.5,0.20,0.20,0.00,7.8,16.9,100
2025-03-10T10:00,7.9,0.00,0.00,0.00,6.2,17.3,100
2025-03-10T11:00,8.7,0.00,0.00,0.00,5.3,13.3,100
2025-03-10T12:00,9.7,0.10,0.10,0.00,6.2,16.9,100
2025-03-10T13:00,10.7,0.00,0.00,0.00,5.4,15.8,100
2025-03-10T14:00,12.0,0.00,0.00,0.00,9.1,23.0,89
2025-03-10T15:00,12.9,0.00,0.00,0.00,9.3,23.8,85
2025-03-10T16:00,13.9,0.00,0.00,0.00,11.3,27.0,57
2025-03-10T17:00,13.5,0.00,0.00,0.00,12.7,29.9,94
2025-03-10T18:00,12.3,0.00,0.00,0.00,11.9,29.2,100
2025-03-10T19:00,10.7,0.00,0.00,0.00,13.7,30.6,100
2025-03-10T20:00,9.4,0.00,0.00,0.00,14.7,32.8,80
2025-03-10T21:00,8.1,0.00,0.00,0.00,13.5,33.1,72
2025-03-10T22:00,7.2,0.00,0.00,0.00,11.1,29.9,100
2025-03-10T23:00,7.0,0.00,0.00,0.00,10.9,24.1,100
2025-03-11T00:00,6.8,0.00,0.00,0.00,12.0,26.3,100
2025-03-11T01:00,6.9,0.00,0.00,0.00,13.8,30.2,100
2025-03-11T02:00,6.8,0.10,0.10,0.00,14.8,33.1,100
2025-03-11T03:00,6.6,0.10,0.10,0.00,14.3,33.5,100
2025-03-11T04:00,6.3,0.10,0.10,0.00,14.0,32.0,100
2025-03-11T05:00,5.9,0.00,0.00,0.00,14.6,33.1,100
2025-03-11T06:00,5.9,0.00,0.00,0.00,14.0,33.1,100
2025-03-11T07:00,5.9,0.00,0.00,0.00,12.8,32.0,100
2025-03-11T08:00,5.9,0.00,0.00,0.00,11.8,28.8,100
2025-03-11T09:00,6.1,0.00,0.00,0.00,14.4,38.5,53
2025-03-11T10:00,6.5,0.00,0.00,0.00,15.8,38.2,100
2025-03-11T11:00,7.0,0.00,0.00,0.00,17.2,43.2,100
2025-03-11T12:00,7.1,0.00,0.00,0.00,15.2,41.0,100
2025-03-11T13:00,7.4,0.00,0.00,0.00,15.7,37.4,100
2025-03-11T14:00,7.7,0.00,0.00,0.00,15.0,37.4,100
2025-03-11T15:00,8.2,0.10,0.10,0.00,15.2,36.0,100
2025-03-11T16:00,8.3,0.00,0.00,0.00,15.3,36.7,78
2025-03-11T17:00,7.9,0.00,0.00,0.00,13.7,36.0,100
2025-03-11T18:00,7.2,0.00,0.00,0.00,10.5,36.0,100
2025-03-11T19:00,6.6,0.00,0.00,0.00,6.8,24.1,81
2025-03-11T20:00,6.0,0.00,0.00,0.00,3.3,14.4,81
2025-03-11T21:00,5.5,0.00,0.00,0.00,7.8,13.7,92
2025-03-11T22:00,5.0,0.00,0.00,0.00,9.2,21.2,40
2025-03-11T23:00,4.3,0.00,0.00,0.00,7.8,19.4,96
2025-03-12T00:00,4.0,0.00,0.00,0.00,4.4,15.5,72
2025-03-12T01:00,3.8,0.00,0.00,0.00,4.5,7.9,99
2025-03-12T02:00,4.3,0.00,0.00,0.00,6.9,13.3,93
2025-03-12T03:00,4.2,0.00,0.00,0.00,7.7,15.8,25
2025-03-12T04:00,3.8,0.00,0.00,0.00,8.0,15.8,99
2025-03-12T05:00,3.6,0.00,0.00,0.00,7.7,15.8,46
2025-03-12T06:00,3.1,0.00,0.00,0.00,7.9,15.1,14
2025-03-12T07:00,2.5,0.00,0.00,0.00,6.7,15.1,13
2025-03-12T08:00,2.2,0.00,0.00,0.00,5.5,12.6,7
2025-03-12T09:00,2.9,0.00,0.00,0.00,4.0,11.2,5
2025-03-12T10:00,4.1,0.00,0.00,0.00,4.9,15.1,17
2025-03-12T11:00,5.7,0.00,0.00,0.00,6.1,17.6,86
2025-03-12T12:00,6.6,0.00,0.00,0.00,6.7,23.4,100
2025-03-12T13:00,6.7,0.10,0.10,0.00,7.4,23.4,88
2025-03-12T14:00,6.3,0.80,0.70,0.07,8.4,25.2,62
2025-03-12T15:00,7.0,0.00,0.00,0.00,9.5,27.0,100
2025-03-12T16:00,7.5,0.00,0.00,0.00,9.2,26.6,70
2025-03-12T17:00,6.3,0.20,0.20,0.00,8.1,26.6,29
2025-03-12T18:00,6.6,0.00,0.00,0.00,7.5,20.5,26
2025-03-12T19:00,5.7,0.00,0.00,0.00,7.5,16.9,24
2025-03-12T20:00,4.1,0.40,0.20,0.14,10.3,22.3,74
2025-03-12T21:00,2.8,2.40,0.60,1.26,5.3,21.2,30
2025-03-12T22:00,2.7,0.10,0.10,0.00,8.3,15.8,15
2025-03-12T23:00,2.6,0.00,0.00,0.00,9.5,19.8,6
2025-03-13T00:00,2.1,0.00,0.00,0.00,9.7,20.2,15
2025-03-13T01:00,2.0,0.00,0.00,0.00,10.3,22.0,20
2025-03-13T02:00,2.6,0.00,0.00,0.00,10.6,22.7,0
2025-03-13T03:00,2.3,0.00,0.00,0.00,9.9,22.3,0
2025-03-13T04:00,2.0,0.00,0.00,0.00,9.8,20.5,4
2025-03-13T05:00,1.6,0.00,0.00,0.00,9.9,20.2,100
2025-03-13T06:00,2.0,0.00,0.00,0.00,9.5,21.2,100
2025-03-13T07:00,2.6,0.00,0.00,0.00,8.5,20.5,100
2025-03-13T08:00,3.0,0.10,0.10,0.00,9.8,20.9,100
2025-03-13T09:00,3.3,0.00,0.00,0.00,10.4,27.4,100
2025-03-13T10:00,3.4,0.00,0.00,0.00,13.9,31.3,100
2025-03-13T11:00,4.1,0.10,0.10,0.00,16.0,37.4,100
2025-03-13T12:00,4.8,0.10,0.10,0.00,13.9,36.7,100
2025-03-13T13:00,5.4,0.20,0.20,0.00,12.9,33.1,60
2025-03-13T14:00,6.8,0.00,0.00,0.00,10.7,29.9,56
2025-03-13T15:00,7.0,0.00,0.00,0.00,10.8,29.9,79
2025-03-13T16:00,7.2,0.00,0.00,0.00,10.5,29.2,74
2025-03-13T17:00,6.6,0.00,0.00,0.00,10.5,29.5,74
2025-03-13T18:00,6.0,0.20,0.20,0.00,11.3,26.6,78
2025-03-13T19:00,4.8,0.00,0.00,0.00,10.0,26.3,13
2025-03-13T20:00,4.1,0.00,0.00,0.00,9.4,20.9,22
2025-03-13T21:00,3.7,0.00,0.00,0.00,8.0,18.7,5
2025-03-13T22:00,3.0,0.00,0.00,0.00,7.9,15.8,7
2025-03-13T23:00,2.4,0.00,0.00,0.00,7.2,15.5,8
2025-03-14T00:00,1.9,0.00,0.00,0.00,6.7,13.7,4
2025-03-14T01:00,1.4,0.00,0.00,0.00,6.3,12.6,0
2025-03-14T02:00,1.7,0.00,0.00,0.00,6.3,11.9,0
2025-03-14T03:00,1.2,0.00,0.00,0.00,4.9,11.2,0
2025-03-14T04:00,0.8,0.00,0.00,0.00,4.0,8.3,18
2025-03-14T05:00,0.3,0.00,0.00,0.00,3.4,6.8,18
2025-03-14T06:00,0.1,0.00,0.00,0.00,3.0,5.4,77
