road,hour,weekday,prob_severity_0,prob_severity_1,prob_severity_2
A1,0,0,1.0,0.0,0.0
A1,0,1,0.9090909090909091,0.09090909090909091,0.0
A1,0,2,1.0,0.0,0.0
A1,0,3,1.0,0.0,0.0
A1,0,4,0.9,0.1,0.0
A1,0,5,0.9,0.1,0.0
A1,0,6,0.95,0.05,0.0
A1,1,0,0.9545454545454546,0.045454545454545456,0.0
A1,1,1,1.0,0.0,0.0
A1,1,2,0.95,0.05,0.0
A1,1,3,0.95,0.05,0.0
A1,1,4,0.95,0.05,0.0
A1,1,5,0.9,0.1,0.0
A1,1,6,0.85,0.15,0.0
A1,2,0,0.9545454545454546,0.045454545454545456,0.0
A1,2,1,1.0,0.0,0.0
A1,2,2,0.75,0.25,0.0
A1,2,3,0.9,0.1,0.0
A1,2,4,1.0,0.0,0.0
A1,2,5,1.0,0.0,0.0
A1,2,6,0.9,0.1,0.0
A1,3,0,0.9090909090909091,0.09090909090909091,0.0
A1,3,1,0.8636363636363636,0.13636363636363635,0.0
A1,3,2,0.95,0.05,0.0
A1,3,3,1.0,0.0,0.0
A1,3,4,0.9,0.1,0.0
A1,3,5,0.9,0.05,0.05
A1,3,6,1.0,0.0,0.0
A1,4,0,0.9090909090909091,0.09090909090909091,0.0
A1,4,1,1.0,0.0,0.0
A1,4,2,0.95,0.05,0.0
A1,4,3,0.85,0.15,0.0
A1,4,4,0.95,0.05,0.0
A1,4,5,0.9,0.1,0.0
A1,4,6,0.9,0.1,0.0
A1,5,0,1.0,0.0,0.0
A1,5,1,0.9090909090909091,0.09090909090909091,0.0
A1,5,2,0.9,0.1,0.0
A1,5,3,0.95,0.05,0.0
A1,5,4,0.95,0.05,0.0
A1,5,5,0.85,0.1,0.05
A1,5,6,0.9,0.05,0.05
A1,6,0,0.8181818181818182,0.18181818181818182,0.0
A1,6,1,0.8181818181818182,0.13636363636363635,0.045454545454545456
A1,6,2,0.8,0.15,0.05
A1,6,3,0.8,0.1,0.1
A1,6,4,0.85,0.15,0.0
A1,6,5,0.9,0.05,0.05
A1,6,6,0.85,0.15,0.0
A1,7,0,0.6363636363636364,0.22727272727272727,0.13636363636363635
A1,7,1,0.6363636363636364,0.2727272727272727,0.09090909090909091
A1,7,2,0.6,0.1,0.3
A1,7,3,0.55,0.3,0.15
A1,7,4,0.65,0.25,0.1
A1,7,5,0.95,0.0,0.05
A1,7,6,1.0,0.0,0.0
A1,8,0,0.5909090909090909,0.3181818181818182,0.09090909090909091
A1,8,1,0.6363636363636364,0.3181818181818182,0.045454545454545456
A1,8,2,0.65,0.25,0.1
A1,8,3,0.5,0.4,0.1
A1,8,4,0.65,0.25,0.1
A1,8,5,1.0,0.0,0.0
A1,8,6,0.85,0.15,0.0
A1,9,0,0.6363636363636364,0.2727272727272727,0.09090909090909091
A1,9,1,0.5909090909090909,0.36363636363636365,0.045454545454545456
A1,9,2,0.3,0.45,0.25
A1,9,3,0.6,0.2,0.2
A1,9,4,0.8,0.15,0.05
A1,9,5,0.95,0.05,0.0
A1,9,6,0.95,0.0,0.05
A1,10,0,0.8636363636363636,0.0,0.13636363636363635
A1,10,1,0.9545454545454546,0.045454545454545456,0.0
